date,district,consumption_kwh,renewable_pct,ev_charging_kwh,peak_demand_kw
2025-01-01,Central,5682.6,59.8,192.7,932.3
2025-01-01,Riverside,4344.5,32.3,434.2,589.7
2025-01-01,Northgate,3453.5,20.5,307.8,524.9
2025-01-01,Eastfield,3027.2,47.7,253.2,381.4
2025-01-01,Harbour,5009.8,40.4,358.2,868.2
2025-01-01,Greenpark,2540.3,33.7,401.1,454.0
2025-01-02,Central,7163.0,38.7,155.0,1099.5
2025-01-02,Riverside,4728.1,36.5,393.6,801.0
2025-01-02,Northgate,3398.5,32.4,575.1,449.6
2025-01-02,Eastfield,3268.0,41.3,348.8,448.9
2025-01-02,Harbour,4098.9,35.2,279.4,605.1
2025-01-02,Greenpark,2504.8,56.8,319.6,375.8
2025-01-03,Central,4820.2,36.7,341.6,638.7
2025-01-03,Riverside,4052.4,33.9,571.6,690.1
2025-01-03,Northgate,3806.8,48.1,323.5,664.4
2025-01-03,Eastfield,2845.7,35.1,203.1,438.0
2025-01-03,Harbour,4353.4,64.7,72.4,620.8
2025-01-03,Greenpark,2450.1,38.6,392.6,370.4
2025-01-04,Central,5108.8,49.9,170.3,887.5
2025-01-04,Riverside,4296.7,38.4,179.5,527.6
2025-01-04,Northgate,3724.1,53.3,149.0,487.5
2025-01-04,Eastfield,3250.9,59.2,411.0,476.9
2025-01-04,Harbour,4534.9,42.4,283.7,754.1
2025-01-04,Greenpark,2356.5,58.3,291.5,325.2
2025-01-05,Central,5687.7,52.8,352.9,839.1
2025-01-05,Riverside,4149.7,47.4,368.0,536.2
2025-01-05,Northgate,3255.6,22.5,324.1,580.9
2025-01-05,Eastfield,3484.1,36.6,323.5,504.0
2025-01-05,Harbour,4561.1,59.2,355.5,731.7
2025-01-05,Greenpark,2648.9,47.2,326.8,376.7
2025-01-06,Central,6474.7,41.5,237.1,1160.0
2025-01-06,Riverside,4006.1,35.0,351.1,507.6
2025-01-06,Northgate,3737.5,26.3,296.6,539.7
2025-01-06,Eastfield,3136.7,25.6,476.5,447.8
2025-01-06,Harbour,5161.2,53.9,413.1,881.3
2025-01-06,Greenpark,2384.9,44.5,219.0,404.1
2025-01-07,Central,5779.8,50.5,494.3,855.2
2025-01-07,Riverside,4168.5,62.6,436.8,704.6
2025-01-07,Northgate,3178.8,35.7,490.1,433.6
2025-01-07,Eastfield,3431.9,31.9,83.4,588.1
2025-01-07,Harbour,5130.8,40.3,439.7,702.6
2025-01-07,Greenpark,2467.5,16.2,276.7,438.4
2025-01-08,Central,6150.5,33.9,444.6,863.7
2025-01-08,Riverside,3812.6,57.6,626.9,681.8
2025-01-08,Northgate,3456.1,29.7,379.1,527.6
2025-01-08,Eastfield,2859.2,49.8,413.4,467.1
2025-01-08,Harbour,5542.8,43.1,127.3,753.8
2025-01-08,Greenpark,2684.2,27.8,381.9,371.7
2025-01-09,Central,5711.8,37.5,298.8,991.8
2025-01-09,Riverside,3800.7,40.6,313.9,596.8
2025-01-09,Northgate,3217.7,44.7,650.7,449.1
2025-01-09,Eastfield,3136.2,58.2,411.2,521.8
2025-01-09,Harbour,5293.3,40.9,370.7,720.5
2025-01-09,Greenpark,2647.9,10.0,467.5,395.4
2025-01-10,Central,6205.5,41.8,413.1,1100.4
2025-01-10,Riverside,4180.0,16.7,229.4,704.6
2025-01-10,Northgate,3408.9,35.7,253.6,471.5
2025-01-10,Eastfield,3066.8,41.1,453.6,401.2
2025-01-10,Harbour,4999.5,30.0,176.1,738.1
2025-01-10,Greenpark,2447.6,36.6,321.2,433.7
2025-01-11,Central,6033.5,54.8,232.5,906.6
2025-01-11,Riverside,4092.9,17.6,511.2,500.7
2025-01-11,Northgate,4128.9,44.5,594.0,671.7
2025-01-11,Eastfield,3624.5,55.8,274.2,596.6
2025-01-11,Harbour,4775.6,45.1,301.5,664.1
2025-01-11,Greenpark,2768.9,38.6,335.3,427.3
2025-01-12,Central,5616.8,48.8,294.9,902.8
2025-01-12,Riverside,4376.0,48.0,471.4,528.8
2025-01-12,Northgate,3448.1,26.7,312.0,448.0
2025-01-12,Eastfield,3152.8,47.0,302.4,534.4
2025-01-12,Harbour,4883.9,66.2,246.1,720.6
2025-01-12,Greenpark,2500.2,45.6,196.1,308.9
2025-01-13,Central,5683.6,44.2,526.6,694.2
2025-01-13,Riverside,3962.8,24.3,243.0,651.0
2025-01-13,Northgate,4322.2,43.4,231.1,678.1
2025-01-13,Eastfield,3917.3,76.4,467.6,564.9
2025-01-13,Harbour,4782.3,52.8,412.9,590.4
2025-01-13,Greenpark,2520.1,65.7,408.3,326.4
2025-01-14,Central,5276.7,49.6,252.6,683.3
2025-01-14,Riverside,3933.9,21.6,317.8,589.1
2025-01-14,Northgate,3603.6,49.3,222.1,602.8
2025-01-14,Eastfield,3086.8,42.2,34.7,505.0
2025-01-14,Harbour,4748.6,20.3,305.9,586.1
2025-01-14,Greenpark,2839.7,38.4,335.3,465.1
2025-01-15,Central,5916.4,64.0,0.0,896.0
2025-01-15,Riverside,4837.7,22.7,204.0,636.7
2025-01-15,Northgate,3733.6,23.4,278.6,453.2
2025-01-15,Eastfield,2904.9,31.3,247.5,378.1
2025-01-15,Harbour,4750.4,42.0,253.1,744.0
2025-01-15,Greenpark,2466.3,63.0,529.2,310.8
2025-01-16,Central,6251.0,47.5,408.6,866.2
2025-01-16,Riverside,4185.0,37.4,225.8,639.9
2025-01-16,Northgate,3668.4,27.7,596.4,570.8
2025-01-16,Eastfield,3026.1,27.0,300.4,449.2
2025-01-16,Harbour,5810.4,50.4,165.2,1017.9
2025-01-16,Greenpark,2335.3,33.4,234.7,372.6
2025-01-17,Central,6229.7,21.0,331.6,1094.7
2025-01-17,Riverside,4187.5,48.2,435.3,572.7
2025-01-17,Northgate,3708.2,50.0,320.8,502.5
2025-01-17,Eastfield,2958.3,26.3,355.0,503.1
2025-01-17,Harbour,4657.8,48.9,345.6,705.2
2025-01-17,Greenpark,2513.9,38.8,418.2,447.5
2025-01-18,Central,5947.6,70.3,468.3,945.9
2025-01-18,Riverside,4019.9,39.8,370.0,490.9
2025-01-18,Northgate,3180.9,37.9,125.8,403.0
2025-01-18,Eastfield,2834.7,45.0,490.3,364.9
2025-01-18,Harbour,5160.6,36.7,409.2,664.6
2025-01-18,Greenpark,2381.8,35.2,394.1,332.3
2025-01-19,Central,5154.7,56.0,319.5,641.0
2025-01-19,Riverside,4499.9,42.1,287.6,661.0
2025-01-19,Northgate,3348.0,48.9,382.2,432.1
2025-01-19,Eastfield,3556.1,40.7,114.2,442.7
2025-01-19,Harbour,4888.6,41.0,325.4,719.0
2025-01-19,Greenpark,2560.1,45.1,457.8,323.9
2025-01-20,Central,5852.3,49.5,445.8,926.9
2025-01-20,Riverside,3717.5,47.6,204.0,492.5
2025-01-20,Northgate,3650.2,44.6,360.2,526.4
2025-01-20,Eastfield,3605.6,44.3,422.8,586.5
2025-01-20,Harbour,4774.0,48.2,378.1,621.8
2025-01-20,Greenpark,2716.5,31.9,329.8,406.4
2025-01-21,Central,5461.7,40.0,503.5,872.3
2025-01-21,Riverside,3900.0,45.4,355.2,670.7
2025-01-21,Northgate,3670.8,46.0,464.9,489.6
2025-01-21,Eastfield,3619.5,35.0,405.0,645.2
2025-01-21,Harbour,4400.7,35.3,444.9,538.6
2025-01-21,Greenpark,2408.9,32.0,136.4,311.3
2025-01-22,Central,6261.8,41.7,345.0,937.0
2025-01-22,Riverside,3949.1,57.0,277.5,489.5
2025-01-22,Northgate,3453.0,60.5,212.2,421.4
2025-01-22,Eastfield,3136.1,54.1,323.5,511.1
2025-01-22,Harbour,5156.1,48.0,442.9,905.1
2025-01-22,Greenpark,2450.6,31.9,271.2,391.8
2025-01-23,Central,5890.3,54.7,139.3,888.0
2025-01-23,Riverside,3821.0,40.8,373.2,534.5
2025-01-23,Northgate,3784.7,39.5,293.1,557.3
2025-01-23,Eastfield,3303.0,51.2,20.4,453.5
2025-01-23,Harbour,4905.5,18.9,220.3,788.4
2025-01-23,Greenpark,2755.2,52.7,199.8,392.3
2025-01-24,Central,5089.0,51.9,281.9,837.8
2025-01-24,Riverside,3768.0,50.1,486.9,567.3
2025-01-24,Northgate,3562.6,52.1,331.8,619.3
2025-01-24,Eastfield,3201.2,38.6,415.5,514.5
2025-01-24,Harbour,4432.5,46.9,281.2,584.3
2025-01-24,Greenpark,2691.3,43.1,413.9,353.9
2025-01-25,Central,5987.4,53.7,561.2,722.4
2025-01-25,Riverside,4366.0,24.2,441.1,628.9
2025-01-25,Northgate,4061.4,23.9,25.9,606.0
2025-01-25,Eastfield,3211.9,72.2,366.6,566.4
2025-01-25,Harbour,5779.8,29.1,164.6,714.1
2025-01-25,Greenpark,2365.6,49.9,190.2,313.9
2025-01-26,Central,5984.6,41.5,367.1,809.9
2025-01-26,Riverside,3756.2,49.6,473.4,523.7
2025-01-26,Northgate,4198.9,45.5,248.0,590.2
2025-01-26,Eastfield,3231.5,35.9,215.7,451.7
2025-01-26,Harbour,4983.9,48.6,229.7,705.4
2025-01-26,Greenpark,2921.8,48.5,508.8,498.6
2025-01-27,Central,6339.7,57.3,591.0,980.0
2025-01-27,Riverside,4152.4,37.1,0.0,698.3
2025-01-27,Northgate,3718.2,53.4,333.4,661.0
