date,district,transactions,revenue_gbp,violations,avg_duration_mins,occupancy_pct
2025-01-01,Central,249,1169.3,18,67.2,76.8
2025-01-01,Riverside,164,758.37,18,83.3,80.1
2025-01-01,Northgate,124,423.18,8,29.7,86.3
2025-01-01,Eastfield,119,347.3,4,72.3,50.8
2025-01-01,Harbour,235,728.27,17,159.0,77.9
2025-01-01,Greenpark,95,286.1,6,80.0,67.6
2025-01-02,Central,205,587.55,27,81.7,71.9
2025-01-02,Riverside,150,673.14,13,100.2,42.6
2025-01-02,Northgate,104,562.51,8,100.5,85.2
2025-01-02,Eastfield,86,285.01,2,83.5,87.9
2025-01-02,Harbour,199,581.63,5,109.6,85.3
2025-01-02,Greenpark,108,293.99,11,74.0,67.4
2025-01-03,Central,242,845.23,26,90.6,65.8
2025-01-03,Riverside,188,829.58,9,93.2,87.1
2025-01-03,Northgate,144,688.66,8,132.4,77.1
2025-01-03,Eastfield,165,624.13,8,97.2,67.5
2025-01-03,Harbour,190,992.31,3,81.6,49.6
2025-01-03,Greenpark,81,221.21,8,74.8,64.5
2025-01-04,Central,221,1085.33,19,129.3,74.6
2025-01-04,Riverside,123,348.11,12,85.2,50.0
2025-01-04,Northgate,118,297.46,10,28.6,77.2
2025-01-04,Eastfield,81,284.54,5,91.0,78.1
2025-01-04,Harbour,207,743.31,17,94.5,46.9
2025-01-04,Greenpark,63,164.47,3,96.5,99.0
2025-01-05,Central,185,542.92,16,103.5,71.9
2025-01-05,Riverside,147,703.37,6,114.8,58.4
2025-01-05,Northgate,140,616.08,5,73.0,73.2
2025-01-05,Eastfield,79,241.7,8,97.5,64.4
2025-01-05,Harbour,114,505.65,9,108.4,58.3
2025-01-05,Greenpark,86,250.48,6,75.4,67.2
2025-01-06,Central,261,1292.38,11,129.1,99.0
2025-01-06,Riverside,147,763.17,10,101.5,83.7
2025-01-06,Northgate,106,495.85,4,110.4,90.3
2025-01-06,Eastfield,108,272.98,11,102.3,61.3
2025-01-06,Harbour,248,1105.06,23,113.4,57.7
2025-01-06,Greenpark,81,383.9,3,119.1,78.2
2025-01-07,Central,262,728.63,35,60.8,60.4
2025-01-07,Riverside,180,790.81,13,95.3,93.8
2025-01-07,Northgate,129,398.06,20,70.9,86.7
2025-01-07,Eastfield,105,318.29,7,89.4,82.7
2025-01-07,Harbour,203,1094.34,15,83.7,83.7
2025-01-07,Greenpark,110,379.58,7,100.4,53.3
2025-01-08,Central,236,993.6,21,100.8,59.9
2025-01-08,Riverside,185,873.63,15,122.1,87.8
2025-01-08,Northgate,103,507.59,5,102.6,75.9
2025-01-08,Eastfield,104,416.47,11,109.3,89.0
2025-01-08,Harbour,218,1127.06,21,66.2,49.5
2025-01-08,Greenpark,96,250.35,5,152.9,44.0
2025-01-09,Central,256,663.42,8,72.7,67.0
2025-01-09,Riverside,198,623.2,16,76.7,75.2
2025-01-09,Northgate,136,560.58,8,129.1,84.4
2025-01-09,Eastfield,104,360.76,9,78.5,84.8
2025-01-09,Harbour,162,417.32,12,75.7,96.9
2025-01-09,Greenpark,88,286.06,6,139.1,78.1
2025-01-10,Central,179,960.26,19,104.4,96.8
2025-01-10,Riverside,120,389.18,16,126.7,61.4
2025-01-10,Northgate,146,572.69,15,94.5,58.0
2025-01-10,Eastfield,81,307.93,6,135.8,50.5
2025-01-10,Harbour,173,626.92,14,96.5,99.0
2025-01-10,Greenpark,100,298.88,10,100.0,63.0
2025-01-11,Central,193,1026.89,13,47.6,91.2
2025-01-11,Riverside,116,479.87,16,91.2,80.8
2025-01-11,Northgate,118,320.2,7,117.1,65.0
2025-01-11,Eastfield,77,353.45,5,117.5,76.6
2025-01-11,Harbour,178,595.61,17,108.8,61.3
2025-01-11,Greenpark,54,260.78,2,108.7,69.0
2025-01-12,Central,184,874.48,20,84.8,75.9
2025-01-12,Riverside,130,647.32,14,112.0,67.3
2025-01-12,Northgate,119,636.87,9,142.8,88.0
2025-01-12,Eastfield,60,209.16,3,124.0,83.9
2025-01-12,Harbour,173,479.84,17,77.5,71.9
2025-01-12,Greenpark,50,258.16,6,74.4,67.2
2025-01-13,Central,246,1071.24,15,84.2,75.1
2025-01-13,Riverside,171,469.23,18,58.8,50.9
2025-01-13,Northgate,118,570.11,8,44.1,95.6
2025-01-13,Eastfield,98,382.79,7,103.1,59.6
2025-01-13,Harbour,204,1098.85,25,58.9,59.3
2025-01-13,Greenpark,88,474.29,8,100.6,72.2
2025-01-14,Central,233,1260.04,13,151.9,78.1
2025-01-14,Riverside,144,631.11,19,116.8,74.8
2025-01-14,Northgate,186,619.78,10,91.1,51.7
2025-01-14,Eastfield,122,333.45,3,103.5,99.0
2025-01-14,Harbour,218,992.81,13,113.5,94.1
2025-01-14,Greenpark,105,535.31,7,124.5,65.0
2025-01-15,Central,161,870.97,19,101.9,76.2
2025-01-15,Riverside,90,298.82,4,95.1,72.7
