date,hour,district,sensor_type,value,status
2025-01-01,8,Central,air_quality,50.7,normal
2025-01-01,12,Central,air_quality,26.1,normal
2025-01-01,16,Central,air_quality,51.3,normal
2025-01-01,20,Central,air_quality,0.5,normal
2025-01-01,8,Central,noise_level,74.6,normal
2025-01-01,12,Central,noise_level,56.1,normal
2025-01-01,16,Central,noise_level,61.7,normal
2025-01-01,20,Central,noise_level,76.6,critical
2025-01-01,8,Central,temperature,9.5,normal
2025-01-01,12,Central,temperature,11.4,normal
2025-01-01,16,Central,temperature,11.8,normal
2025-01-01,20,Central,temperature,9.6,normal
2025-01-01,8,Central,humidity,63.3,normal
2025-01-01,12,Central,humidity,65.2,normal
2025-01-01,16,Central,humidity,56.0,normal
2025-01-01,20,Central,humidity,71.5,normal
2025-01-01,8,Central,traffic_flow,713.0,normal
2025-01-01,12,Central,traffic_flow,331.0,warning
2025-01-01,16,Central,traffic_flow,664.0,normal
2025-01-01,20,Central,traffic_flow,595.0,normal
2025-01-01,8,Riverside,air_quality,22.2,normal
2025-01-01,12,Riverside,air_quality,78.9,normal
2025-01-01,16,Riverside,air_quality,43.5,warning
2025-01-01,20,Riverside,air_quality,38.4,normal
2025-01-01,8,Riverside,noise_level,51.1,normal
2025-01-01,12,Riverside,noise_level,52.2,normal
2025-01-01,16,Riverside,noise_level,55.0,normal
2025-01-01,20,Riverside,noise_level,98.5,normal
2025-01-01,8,Riverside,temperature,8.2,normal
2025-01-01,12,Riverside,temperature,11.5,normal
2025-01-01,16,Riverside,temperature,9.4,normal
2025-01-01,20,Riverside,temperature,16.0,normal
2025-01-01,8,Riverside,humidity,68.7,normal
2025-01-01,12,Riverside,humidity,48.2,normal
2025-01-01,16,Riverside,humidity,58.5,normal
2025-01-01,20,Riverside,humidity,101.6,normal
2025-01-01,8,Riverside,traffic_flow,928.0,warning
2025-01-01,12,Riverside,traffic_flow,397.0,warning
2025-01-01,16,Riverside,traffic_flow,670.0,normal
2025-01-01,20,Riverside,traffic_flow,284.0,normal
2025-01-01,8,Northgate,air_quality,26.9,normal
2025-01-01,12,Northgate,air_quality,18.3,normal
2025-01-01,16,Northgate,air_quality,59.1,normal
2025-01-01,20,Northgate,air_quality,55.6,normal
2025-01-01,8,Northgate,noise_level,64.0,normal
2025-01-01,12,Northgate,noise_level,79.5,normal
2025-01-01,16,Northgate,noise_level,71.0,normal
2025-01-01,20,Northgate,noise_level,46.1,warning
2025-01-01,8,Northgate,temperature,19.3,normal
2025-01-01,12,Northgate,temperature,10.1,normal
2025-01-01,16,Northgate,temperature,12.7,normal
2025-01-01,20,Northgate,temperature,10.1,warning
2025-01-01,8,Northgate,humidity,67.0,normal
2025-01-01,12,Northgate,humidity,42.4,normal
2025-01-01,16,Northgate,humidity,56.7,normal
2025-01-01,20,Northgate,humidity,72.8,normal
