date,district,category,sentiment,resolution_days,resolved,source
2025-01-01,Eastfield,Illegal Parking,neutral,0,True,app
2025-01-01,Greenpark,Traffic Signal Issue,frustrated,8,False,chatbot
2025-01-01,Harbour,Traffic Signal Issue,frustrated,1,True,app
2025-01-01,Eastfield,Streetlight Outage,neutral,2,True,phone
2025-01-01,Greenpark,Streetlight Outage,neutral,2,True,phone
2025-01-01,Eastfield,Waste Collection,neutral,11,False,app
2025-01-01,Riverside,Pothole Repair,neutral,6,True,phone
2025-01-02,Central,Illegal Parking,urgent,5,True,app
2025-01-02,Riverside,Waste Collection,neutral,3,True,phone
2025-01-02,Harbour,Streetlight Outage,concerned,4,True,phone
2025-01-02,Central,Pothole Repair,neutral,7,True,phone
2025-01-02,Northgate,Air Quality Concern,frustrated,7,True,social_media
2025-01-02,Riverside,Waste Collection,frustrated,7,True,social_media
2025-01-02,Harbour,Pothole Repair,frustrated,0,True,chatbot
2025-01-02,Greenpark,Illegal Parking,concerned,10,False,app
2025-01-02,Harbour,Illegal Parking,urgent,3,True,social_media
2025-01-02,Central,Traffic Signal Issue,neutral,7,True,email
2025-01-02,Northgate,EV Charger Fault,neutral,1,True,email
2025-01-02,Riverside,Air Quality Concern,neutral,0,True,phone
2025-01-02,Greenpark,EV Charger Fault,concerned,11,False,chatbot
2025-01-02,Greenpark,Streetlight Outage,urgent,0,True,app
2025-01-02,Eastfield,Pothole Repair,satisfied,6,True,chatbot
2025-01-02,Greenpark,Waste Collection,frustrated,6,True,email
2025-01-02,Northgate,Pothole Repair,frustrated,0,True,social_media
2025-01-03,Greenpark,Pothole Repair,neutral,9,False,app
2025-01-03,Northgate,Waste Collection,concerned,8,False,phone
2025-01-03,Central,Waste Collection,concerned,13,False,social_media
2025-01-03,Eastfield,Traffic Signal Issue,neutral,5,True,email
2025-01-03,Northgate,Air Quality Concern,frustrated,2,True,phone
2025-01-03,Northgate,Air Quality Concern,neutral,1,True,email
2025-01-03,Riverside,Illegal Parking,urgent,6,True,phone
2025-01-03,Greenpark,EV Charger Fault,urgent,4,True,chatbot
2025-01-03,Greenpark,Illegal Parking,urgent,4,True,app
2025-01-03,Central,Illegal Parking,urgent,0,True,app
2025-01-03,Northgate,Traffic Signal Issue,neutral,3,True,chatbot
2025-01-03,Greenpark,Waste Collection,satisfied,1,True,chatbot
2025-01-03,Harbour,EV Charger Fault,frustrated,2,True,app
2025-01-03,Eastfield,Streetlight Outage,concerned,6,True,chatbot
